lap,lap_start_time,lap_end_time,lap_time_s,aps_mean,aps_max,pbrake_f_mean,pbrake_f_max,pbrake_r_mean,pbrake_r_max,sector1_time_s,sector2_time_s,sector3_time_s,is_race_pace_lap
2,2025-09-05 00:27:38.589000+00:00,2025-09-05 00:28:20.593000+00:00,42.004,26.141170984455957,100.0,0.7523005181347151,14.3,0.7784352331606218,14.3,,,41.875,False
3,2025-09-05 00:28:20.636000+00:00,2025-09-05 00:30:04.308000+00:00,103.672,61.77297666226332,100.0,5.103971818582123,144.56,5.157536327608983,144.8,27.389,42.936,32.572,True
4,2025-09-05 00:30:04.352000+00:00,2025-09-05 00:32:19.808000+00:00,135.456,16.25452985813263,100.0,0.27169580996370835,15.565,0.2801748597822501,15.96,37.317,59.75,135.456,False
5,2025-09-05 00:32:19.852000+00:00,2025-09-05 00:34:21.461000+00:00,121.609,35.266605571847506,100.0,1.936618401759531,78.115,1.9763141495601173,78.24,32.582,51.608,36.686,True
6,2025-09-05 00:34:21.510000+00:00,2025-09-05 00:36:00.198000+00:00,98.688,73.46811580882353,100.0,4.915,117.455,4.969427849264706,117.84,26.33,42.526,98.645,False
7,2025-09-05 00:36:00.242000+00:00,2025-09-05 00:37:38.464000+00:00,98.222,73.81826618379357,100.0,7.713965595291988,165.39,7.786656858306926,166.885,26.551,42.099,28.925,True
8,2025-09-05 00:37:38.509000+00:00,2025-09-05 00:39:16.879000+00:00,98.37,73.15464220183486,100.0,8.329465596330275,164.395,8.408724770642202,166.305,26.326,42.307,98.198,False
9,2025-09-05 00:39:16.922000+00:00,2025-09-05 00:40:55.399000+00:00,98.477,74.63900943396227,100.0,7.580094339622641,161.345,7.656148584905661,162.715,26.758,42.555,28.69,True
10,2025-09-05 00:40:55.442000+00:00,2025-09-05 00:42:34.172000+00:00,98.73,74.3035504014273,100.0,7.762326048171277,178.055,7.84500223015165,180.085,26.551,42.524,28.921,True
11,2025-09-05 00:42:34.214000+00:00,2025-09-05 00:44:13.555000+00:00,99.341,74.38102304147466,100.0,5.854258064516129,133.8,5.926896313364055,134.87,27.184,41.125,28.7,True
12,2025-09-05 00:44:13.599000+00:00,2025-09-05 00:45:52.738000+00:00,99.139,70.86550612800725,100.0,6.923188833408988,164.12,7.004981842941444,165.8,26.544,42.963,28.9,True
13,2025-09-05 00:45:52.782000+00:00,2025-09-05 00:47:31.362000+00:00,98.58,74.21363720073664,100.0,5.7379581031307545,169.8,5.801795580110498,171.08,26.111,41.212,98.409,False
14,2025-09-05 00:47:31.406000+00:00,2025-09-05 00:49:09.879000+00:00,98.473,75.01443990929705,100.0,9.614324263038549,162.185,9.69446485260771,163.435,26.978,42.309,28.711,True
15,2025-09-05 00:49:09.922000+00:00,2025-09-05 00:50:48.474000+00:00,98.552,73.86863881401617,100.0,8.594373315363882,166.335,8.67871293800539,168.18,26.746,42.51,28.694,True
16,2025-09-05 00:50:48.517000+00:00,2025-09-05 00:52:26.768000+00:00,98.251,75.07365305185864,100.0,8.33516980266177,166.885,8.42092244148692,168.685,26.547,41.227,28.277,True
17,2025-09-05 00:52:26.812000+00:00,2025-09-05 00:54:05.478000+00:00,98.666,74.48441966317705,100.0,8.476222121074192,165.205,8.564126081019573,166.335,26.554,42.966,28.497,True
18,2025-09-05 00:54:05.522000+00:00,2025-09-05 00:55:44.153000+00:00,98.631,74.47801856148492,100.0,7.625816705336428,158.275,7.7223596287703025,159.36,26.347,41.704,98.46,False
19,2025-09-05 00:55:44.196000+00:00,2025-09-05 00:57:22.578000+00:00,98.382,74.75713892709767,100.0,8.67945667125172,160.305,8.77563961485557,162.06,26.564,42.51,98.206,False
20,2025-09-05 00:57:22.622000+00:00,2025-09-05 00:59:01.053000+00:00,98.431,74.25336560627017,100.0,8.057591055786077,161.68,8.149197786998617,162.93,26.773,42.468,28.715,True
21,2025-09-05 00:59:01.096000+00:00,2025-09-05 01:00:39.449000+00:00,98.353,74.10330899132816,100.0,8.523083067092653,167.815,8.618603377453217,169.46,26.546,42.517,28.557,True
22,2025-09-05 01:00:39.492000+00:00,2025-09-05 01:02:17.821000+00:00,98.329,74.63534948741845,100.0,7.443473904939422,158.58,7.538602050326189,160.335,26.44,42.593,98.286,False
23,2025-09-05 01:02:17.870000+00:00,2025-09-05 01:03:56.255000+00:00,98.385,75.4253590909091,100.0,7.440952272727273,167.69,7.529756818181818,169.05,26.367,42.559,28.723,True
24,2025-09-05 01:03:56.297000+00:00,2025-09-05 01:05:34.818000+00:00,98.521,73.25740482822656,100.0,8.993033890436397,164.455,9.101954503249768,165.955,26.394,42.79,98.304,False
25,2025-09-05 01:05:34.870000+00:00,2025-09-05 01:07:13.449000+00:00,98.579,74.98067875406788,100.0,6.983979544397955,172.925,7.070999535099953,174.53,26.331,41.65,98.404,False
26,2025-09-05 01:07:13.492000+00:00,2025-09-05 01:08:52.221000+00:00,98.729,77.28818099135971,100.0,8.55423829013188,166.305,8.642664847658027,167.875,26.561,42.733,98.642,False
27,2025-09-05 01:08:52.264000+00:00,2025-09-05 01:10:31.017000+00:00,98.753,75.56689109805694,100.0,7.8266674197921375,161.785,7.9104134658834155,163.465,26.336,42.775,98.494,False
28,2025-09-05 01:10:31.062000+00:00,2025-09-05 01:12:10.218000+00:00,99.156,74.92161379310345,100.0,9.331924137931034,165.115,9.443933333333334,167.02,27.009,42.553,99.156,False
29,2025-09-05 01:12:10.263000+00:00,2025-09-05 01:12:36.506000+00:00,26.243,75.02535655058043,100.0,9.986807628524046,160.52,10.096094527363183,161.815,25.939,,,False
