lap,lap_time_s,aps_mean,pbrake_f_mean
1,48.881,23.522221163012393,0.8954051477597712
2,99.942,72.79689655172413,6.024206896551724
3,98.273,73.40724170172977,6.136192145862553
4,98.13,73.13263569457222,6.994510119595216
5,97.759,74.51451061865188,8.042680055401663
6,98.384,72.77330163043479,8.505745018115942
7,97.969,72.9387875983341,7.8061036557149475
8,98.563,72.64181860036832,8.188264272559852
9,98.055,72.8768128791414,6.683866075594961
10,98.372,72.67426456542502,8.172316141356257
11,99.24,72.72225988700565,8.036876177024482
12,98.632,73.4944696969697,7.90248440285205
13,98.048,74.69575022461815,7.745945642407906
14,97.845,73.01889648882809,7.385601915184679
15,98.058,72.88242298850574,7.591786206896551
16,98.086,71.70624314442414,6.7603679159049355
17,97.956,73.69080845199817,8.13010105649977
18,97.621,72.69890289449113,7.596570961718021
19,98.103,72.21710490151169,7.404828218048557
20,98.143,74.31878202247191,7.769934831460674
21,98.244,72.78059168925023,6.843613369467028
22,97.865,72.74799084668192,7.560784897025171
23,98.656,71.70654952076677,6.9771360109539025
24,97.932,72.75478728168383,7.391419614867891
25,98.068,73.45334099264706,8.410071231617646
26,98.471,72.24804357694053,7.077914207898321
27,98.035,71.64573913043478,7.2925240274599545
28,95.251,71.85889413988659,7.774156427221173
