car_number,S1_mean_s,S2_mean_s,S3_mean_s,is_our_car
2,49.00685,52.084799999999994,36.957100000000004,True
3,48.81425,52.81385,37.863800000000005,False
5,48.90665,52.414049999999996,37.314350000000005,False
7,48.41465,51.982749999999996,36.76345,False
12,49.6755,54.604499999999994,38.3416,False
13,48.32085,51.87325,36.9533,False
15,48.53218181818182,52.630545454545455,59.075,False
21,48.531150000000004,52.31975,37.10745,False
31,48.66065,52.285199999999996,37.03375,False
41,48.80625,52.9501,37.722300000000004,False
46,48.1747,52.00015,36.923899999999996,False
51,49.08085,53.111450000000005,37.407650000000004,False
55,48.316500000000005,52.09085,37.0195,False
61,49.1832,53.594100000000005,37.8716,False
71,49.19385,52.856100000000005,40.867450000000005,False
72,48.1262,51.94805,37.01375,False
80,49.6863,54.151149999999994,37.4251,False
88,48.78795,52.37675,37.031,False
89,52.84,49.156,36.317,False
93,49.344789473684216,53.23621052631579,37.42857894736842,False
98,57.22775,66.18275,44.81675,False
111,48.60795,52.4249,37.062,False
113,48.754000000000005,52.32865,37.16605,False
